timestamp,tweet_text,username,all_hashtags,followers_count
2020-07-06 17:18:31,"@Warchant @Corey_Clark @IraSchoffel @JCameronShow Keep the Faith boys!!!  Football in the fall or Bust!!  As said many times, it’s not number of cases it’s hospitalization &amp; death rates!  This just reinforces the minor symptoms to the younger demographic!  https://t.co/In583gbkvJ",TMoneyNoles,[],20
2020-07-06 17:18:31,DeSantis is a disgraces... https://t.co/yoTkzh70Zh https://t.co/wQEmyj4GNk,sawashington,[],2725
2020-07-06 17:18:25,Staunton announces reopening of City Hall on July 13 https://t.co/i5y1lR7RtN via @newsleadernow,moniquecalello,[],1048
2020-07-06 17:18:10,Scientist Behind Coronavirus StudyDonald Contradicts Trump Claim That He Saved 2 Million Lives https://t.co/gYHJeJHTLQ via @Yahoo BUNKER BOY STRIKES AGAIN THE NO SPINE,rivera4530,[],0
2020-07-06 17:18:10,"Akufo-Addo is tired, we’re all tired of COVID-19 - Health Minister #coronavirus https://t.co/lR4SXsKODK",GbAfrique,[u'coronavirus'],23836
2020-07-06 17:18:08,How scientists know COVID-19 is way deadlier than the flu https://t.co/PUfG611W0V via @NatGeo,MichelleKMassie,[],190
2020-07-06 17:18:07,@euronews Stop spreading #FakeNews to please China please! 😳 https://t.co/YqRLnvoVzl,Stophetfakenews,[u'FakeNews'],379
2020-07-06 17:18:07,Covid-19 antibody drug moves into phase 3 trials https://t.co/oouMprmyAK https://t.co/N7uDFBki2t,dialy_novelty,[],36
2020-07-06 17:18:03,The virus is very much still alive and real. WEAR A MASK. Take all protective measures necessary.   Black and brown people in the US are three times as likely to contract COVID-19 and TWICE as likely to die compared to our white counterparts. https://t.co/ECWjxZaIAE,MPJInstitute,[],11112
2020-07-06 17:18:03,"Nearly 240 scientists call for update to WHO COVID-19 guidelines, saying coronavirus is airborne  https://t.co/isvFimNUgm",SFBEX,[],1155
2020-07-06 17:17:54,Very happy about everyone wearing masks at gym but gloves are false sense of security. People go to bathroom and don't wash hands as they have gloves on... @lapublichealth @MayorOfLA @MitchOFarrell  I like hand washing and wipes... https://t.co/SR2EvfaftA,LaurentBoye,[],491
2020-07-06 17:17:45,BBQs. Play dates. Travel. Protests. Medical Care.   How to participate safely given #coronavirus?  #COVIDー19 experts @angie_rasmussen and Melissa Stockwell from @ColumbiaMed @ColumbiaMSPH offer evidence-based answers to these questions.  https://t.co/bYFBlfXMtW,publichealthPR,"[u'coronavirus', u'COVID\u30fc19']",1036
2020-07-06 17:17:40,China's SinoVac starts late stage trials for its COVID-19 vaccine https://t.co/mMafIZhjXJ,kevtellier,[],2109
2020-07-06 17:17:34,Mexico’s true death toll from coronavirus could be nearly double the government’s official count. https://t.co/FEfsMHxBFy via @WSJ,Mexconsult,[],3572
2020-07-06 17:17:24,"India crosses Russia to become the third worst country in total number of COVID-19 cases  Back in March, PM Modi had confidently said that Coronavirus battle will only last 21 days. @dhruv_rathee https://t.co/JwW7fdXGFm",its_mdasim,[],106
2020-07-06 17:17:20,"Former Ohio Gov. John Kasich says the FDA commissioner should correct President Trump’s claim that 99% of Covid-19 cases are “harmless.”  “Leaders have the responsibility to speak the truth to power,” Kasich says.  https://t.co/7pl9QPwsLA https://t.co/7WtQjSZE09",CNNnewsroom,[],440994
2020-07-06 17:17:17,UK coronavirus live: Johnson criticised after claiming care homes did not follow procedures during Covid crisis https://t.co/1Kpz7kyHVU,ChelseaBridgeWh,[],440
2020-07-06 17:17:15,Montserrat has no active cases of the novel coronavirus disease/COVID-19. #COVID19,withoutcorona19,[u'COVID19'],8
